title_category,title_sub_category
Beverages,Beer Type - Domestic
Beverages,Beer Type - Imported
Beverages,Beverage Company - AB InBev
Beverages,Beverage Company - Abbott
Beverages,Beverage Company - All Market Inc.
Beverages,Beverage Company - Arizona Beverage Company
Beverages,Beverage Company - BA Sports Nutrition
Beverages,Beverage Company - Bacardi
Beverages,Beverage Company - Banfi Vintners
Beverages,Beverage Company - Bell's Brewery
Beverages,Beverage Company - Blue Diamond Growers
Beverages,Beverage Company - BlueTriton Brands
Beverages,Beverage Company - Britvic
Beverages,Beverage Company - Bronco Wine Company
Beverages,Beverage Company - Brooklyn Bottling Group
Beverages,Beverage Company - Brooklyn Brewery
Beverages,Beverage Company - Brown-Forman
Beverages,Beverage Company - C&C Group
Beverages,Beverage Company - CANarchy
Beverages,Beverage Company - Campbell Soup Company
Beverages,Beverage Company - Castle Brands
Beverages,Beverage Company - Celsius Holdings
Beverages,Beverage Company - Constellation Brands
Beverages,Beverage Company - D.G. Yuengling & Son
Beverages,Beverage Company - Danone Group
Beverages,Beverage Company - Davide Campari
Beverages,Beverage Company - Deschutes Brewery
Beverages,Beverage Company - Diageo
Beverages,Beverage Company - Don Sebastiani & Sons
Beverages,Beverage Company - Duvel Moortgat
Beverages,Beverage Company - E & J Gallo Winery
Beverages,Beverage Company - Essentia Water
Beverages,Beverage Company - FIFCO USA
Beverages,Beverage Company - Farmer Brothers Company
Beverages,Beverage Company - Florida's Natural Growers
Beverages,Beverage Company - Founders Brewing Co.
Beverages,Beverage Company - GT's Living Foods
Beverages,Beverage Company - Geloso Beverage Group
Beverages,Beverage Company - Hain Celestial Group
Beverages,Beverage Company - Harvest Hill Beverage Company
Beverages,"Beverage Company - Health-Ade, LLC"
Beverages,Beverage Company - Heaven Hill Distilleries
Beverages,Beverage Company - Heineken N.V.
Beverages,Beverage Company - Henkell Freixenet
Beverages,"Beverage Company - Hint, Inc."
Beverages,Beverage Company - ITO EN
Beverages,Beverage Company - Jacobs Douwe Egberts
Beverages,Beverage Company - Jel Sert Co
Beverages,Beverage Company - Kasapreko
Beverages,Beverage Company - Kendall-Jackson Wine Estates
Beverages,Beverage Company - Keurig Dr Pepper
Beverages,Beverage Company - LVMH
Beverages,Beverage Company - Langer Juice Company
Beverages,Beverage Company - Lassonde Industries Inc
Beverages,Beverage Company - Lifeway Foods
Beverages,Beverage Company - Living Essentials LLC
Beverages,Beverage Company - Marchesi de' Frescobaldi
Beverages,Beverage Company - Mark Anthony Group
Beverages,Beverage Company - Mast-Jägermeister
Beverages,Beverage Company - Molson Coors Beverage Company
Beverages,Beverage Company - Monster Beverage
Beverages,Beverage Company - National Beverage Corp.
Beverages,Beverage Company - Nestlé
Beverages,Beverage Company - New Belgium Brewing Company
Beverages,Beverage Company - Niagara Bottling
Beverages,Beverage Company - Ocean Spray
Beverages,Beverage Company - Pabst Brewing Company
Beverages,Beverage Company - PepsiCo
Beverages,Beverage Company - Pernod Ricard
Beverages,"Beverage Company - Phusion Projects, LLC"
Beverages,Beverage Company - Polar Beverages
Beverages,Beverage Company - Primo Water
Beverages,"Beverage Company - RC Bigelow, Inc."
Beverages,Beverage Company - Red Bull GMBH
Beverages,Beverage Company - Reed's Inc.
Beverages,Beverage Company - Sazerac Company
Beverages,Beverage Company - Sierra Nevada Brewing Company
Beverages,Beverage Company - Starbucks Corporation
Beverages,Beverage Company - Ste. Michelle Wine Estates
Beverages,Beverage Company - Stone Brewing Co.
Beverages,"Beverage Company - Sun Orchard, Inc."
Beverages,Beverage Company - Suntory Holdings
Beverages,Beverage Company - SweetWater Brewing Company
Beverages,Beverage Company - Talking Rain Beverage Company
Beverages,Beverage Company - Tampico Beverages
Beverages,Beverage Company - Tata Global Beverages
Beverages,Beverage Company - Terlato Wines International
Beverages,Beverage Company - The Boston Beer Company
Beverages,Beverage Company - The Coca-Cola Company
Beverages,Beverage Company - The Gambrinus Company
Beverages,Beverage Company - The J.M. Smucker Company
Beverages,Beverage Company - The Wine Group
Beverages,Beverage Company - The Wonderful Company
Beverages,Beverage Company - Total Beverage Solution
Beverages,Beverage Company - Treasury Wine Estates
Beverages,Beverage Company - Tree Top Inc.
Beverages,Beverage Company - Trinchero Family Estates
Beverages,Beverage Company - Unilever
Beverages,Beverage Company - VPX/Bang Energy
Beverages,Beverage Company - Vina Concha Y Toro
Beverages,Beverage Company - Welch Foods Inc.
Beverages,Beverage Type - Beer
Beverages,Beverage Type - Champagne & Sparkling
Beverages,Beverage Type - Cider
Beverages,Beverage Type - Coffee
Beverages,Beverage Type - Dairy/Alternative
Beverages,Beverage Type - Energy Drinks
Beverages,Beverage Type - Hard Seltzer/RTD Cocktails
Beverages,Beverage Type - Juices & Shakes
Beverages,Beverage Type - Soft Drinks
Beverages,Beverage Type - Spirits
Beverages,Beverage Type - Sports Drinks
Beverages,Beverage Type - Tea
Beverages,Beverage Type - Water
Beverages,Beverage Type - Wine
Beverages,Spirits Type - Baijiu
Beverages,Spirits Type - Brandy
Beverages,Spirits Type - Cognac
Beverages,Spirits Type - Gin
Beverages,Spirits Type - Liqueur / Cordial
Beverages,Spirits Type - Mezcal
Beverages,Spirits Type - Non-Alcoholic
Beverages,Spirits Type - Rum
Beverages,Spirits Type - Tequila
Beverages,Spirits Type - Vodka
Beverages,Spirits Type - Whiskey
Beverages,Whiskey Type - Bourbon
Beverages,Whiskey Type - Canadian
Beverages,Whiskey Type - Flavored
Beverages,Whiskey Type - Irish
Beverages,Whiskey Type - Japanese
Beverages,Whiskey Type - Other
Beverages,Whiskey Type - Rye
Beverages,Whiskey Type - Scotch
Beverages,Whiskey Type - Tennessee
CPG,CPG Type - Beverage
CPG,CPG Type - Consumer Electronics
CPG,CPG Type - Food
CPG,CPG Type - Household Essentials
CPG,CPG Type - Personal Care
CPG,CPG Type - Toys & Games
CPG,Primary Electronics Product Type - Audio & Sound
CPG,Primary Electronics Product Type - Computers
CPG,Primary Electronics Product Type - Home Appliances
CPG,Primary Electronics Product Type - Smartphones
CPG,Primary Electronics Product Type - TV Peripheral Devices
CPG,Primary Electronics Product Type - Televisions
CPG,Primary Food Type - Confectionary & Shelf-Stable Desserts
CPG,Primary Household Product Type - Air Fresheners
CPG,Primary Household Product Type - Batteries
CPG,Primary Household Product Type - Cleaning Supplies
CPG,Primary Household Product Type - Dish Detergents
CPG,Primary Household Product Type - Food Storage
CPG,Primary Household Product Type - Hand Soap & Sanitizers
CPG,Primary Household Product Type - Insect & Pest Control
CPG,Primary Household Product Type - Laundry Care
CPG,Primary Household Product Type - Paper Products & Trash
CPG,Primary Household Product Type - Party Supplies
CPG,Primary Personal Care Type - Baby / Diapers
CPG,Primary Personal Care Type - Bath & Body
CPG,Primary Personal Care Type - Deodorant & Antiperspirant
CPG,Primary Personal Care Type - Hair Care
CPG,Primary Personal Care Type - Hair Removal & Shave
CPG,Primary Personal Care Type - Skin Care
"CPG, Health & Beauty",Beauty Type - Bath & Body
"CPG, Health & Beauty",Beauty Type - Skincare
"CPG, Health & Beauty",Beauty Type - Tools & Brushes
Consumer Electronics,Consumer Electronics Type - Appliances
Consumer Electronics,Consumer Electronics Type - Audio
Consumer Electronics,"Consumer Electronics Type - Cameras, Camcorders & Drones"
Consumer Electronics,Consumer Electronics Type - Cell Phones
Consumer Electronics,"Consumer Electronics Type - Chargers, Cables, Adapters"
Consumer Electronics,Consumer Electronics Type - Computers & Tablets
Consumer Electronics,"Consumer Electronics Type - Smart Home, Security & Wi-Fi"
Consumer Electronics,Consumer Electronics Type - Streaming Media Players
Consumer Electronics,Consumer Electronics Type - TV
Consumer Electronics,Consumer Electronics Type - Video Games
Consumer Electronics,Consumer Electronics Type - Wearable Technology
"Consumer Electronics, Video Game, Video Game Publishers",Developer - Big Bad Wolf
Fashion,Beauty
Fashion,Handbags
Fashion,Home
Fashion,Jewelry & Accessories
Fashion,Kid's Apparel
Fashion,Men's Apparel
